word_0,word_1,mutual_information
size,half,0.042500428122536876
old,year,0.03435979024383375
support,arch,0.033105745961563245
My,son,0.029388416584181766
my,feet,0.027773600668396167
light,weight,0.02504495270665271
larger,size,0.021467193332992594
second,pair,0.020966314437718018
size,true,0.018291017540103077
size,bigger,0.017545407479184018
wide,feet,0.01366240676650694
my,son,0.013358475271630215
size,smaller,0.012639860294521136
size,small,0.011979055216910919
black,white,0.011644671168703005
shoes,running,0.011180206604158773
My,daughter,0.010775953126976101
box,toe,0.009906250630980546
soccer,indoor,0.00964053555370208
your,feet,0.009353703082511811
daughter,my,0.009224889333475886
casual,wear,0.009030749457887614
time,long,0.008853801701705126
my,old,0.00884169830057865
day,feet,0.008733591133059
my,favorite,0.008555372343502576
shoes,shoe,0.008151672103633233
pair,my,0.008144130034721336
bigger,half,0.00807018724038054
happy,purchase,0.007711967810760554
service,customer,0.007631241257589468
wide,foot,0.0073325191367485006
larger,half,0.007233000926660942
old,son,0.007208265314988999
different,colors,0.0067809820998610566
ankle,support,0.006539999463703254
memory,foam,0.0065301807704493935
My,husband,0.006459040919074788
your,foot,0.006411805181356428
his,son,0.006319689978674194
perfect,fit,0.006232958038883143
flops,flip,0.006220287973229357
my,husband,0.006106375030076351
light,comfortable,0.006035064515200098
disc,golf,0.00592512617833077
size,normal,0.005637276524844103
foot,my,0.0053977232205017055
smaller,half,0.005203443262009026
my,year,0.005146016077535215
everyday,wear,0.00513190042047565
men,women,0.0048803960774639965
high,school,0.004857658933540548
year,son,0.004774533473268287
little,big,0.004756846026340612
size,big,0.0047558862103963505
comfortable,stylish,0.004664149653696454
Great,shoe,0.004575128779165238
comfortable,super,0.004571808124469454
max,air,0.004434562472878853
My,his,0.004422989939672179
plantar,fasciitis,0.004414016546948524
price,great,0.004303188203183525
narrow,feet,0.004208086230393605
country,cross,0.004207264704319493
color,different,0.004189364383328285
style,comfort,0.004109013256170566
cute,super,0.004101073199236094
hours,feet,0.004076485570948494
second,my,0.004019873067615209
her,daughter,0.003995665854087229
work,day,0.0038892775859070486
arches,high,0.003871587915681334
return,policy,0.0038709128033935928
tight,little,0.0038257871779010127
half,small,0.0038042813815511
shipping,free,0.0037926343026259044
size,reviews,0.0037728246248528007
order,size,0.003700500165059595
Light,weight,0.0036463008569304575
force,air,0.0036220661550814322
weeks,couple,0.003609527283251211
pair,new,0.0035581091275461974
area,toe,0.0035121906238703687
super,comfy,0.003493862125411748
foot,narrow,0.0034710567034828576
my,shoes,0.0034503189070024427
blue,color,0.003440414094399692
my,day,0.003410600676480657
little,bit,0.0033905561092493967
tight,bit,0.0033485205107252006
pair,2nd,0.0033313734827354
size,usual,0.003324646225146158
money,worth,0.0033182640626720854
break,period,0.0033175921113720755
long,periods,0.003316808097978639
My,old,0.0032991263741673454
high,arch,0.0032878238567937584
baby,powder,0.0032262849560466497
little,narrow,0.0032250284022239404
support,good,0.003191647753428035
little,small,0.0031557982897737645
years,past,0.003070453328210899
shorts,pants,0.003066536518695097
my,toes,0.003052729184459021
